mean_exp,std_exp,mean_lln,std_lln
0.7497446221643186,0.05175905708156094,0.6335509109079769,0.05112151143070031
0.7700003561000215,0.05561049233538184,0.6497404976939635,0.058898071842167624
0.7718211507018772,0.05546319239200396,0.6499869292117084,0.05394571517111591
0.7773039927330765,0.05105873678763358,0.646178729053445,0.04774735450859955
0.7824317832797587,0.05185232128863314,0.6525241739889354,0.050889928918415754
0.7905691272889841,0.0605708711345492,0.6602732454525415,0.05598133780789445
0.8008788541562198,0.05255168924910972,0.6657658169622348,0.05310913231009452
0.8106298447314964,0.05272395796859394,0.670695534102129,0.05697594593551587
0.8378588654733343,0.061037119822919796,0.6883513871684687,0.05739105761187133
0.828740440253119,0.05593439135644588,0.6790133182446947,0.050700923458987926
0.8454371355541884,0.056258399314361295,0.692198430682192,0.05436875600973613
0.857702741866498,0.07233895171462812,0.7019637195431591,0.07133152649480744
0.8598136039560401,0.05676286687306386,0.685986663064706,0.058900304095683156
0.8753330105032514,0.06935065226583885,0.7066980529598516,0.06035356730607995
0.8859828608665378,0.059346552715566,0.7103794110133345,0.05317502216299288
0.9145631555625569,0.0632577669825869,0.7327367199087204,0.06747285029888526
0.9104790183708318,0.07699850605290226,0.727193857534443,0.07029944041642243
0.9047477161976558,0.06607012966859732,0.7174437857984749,0.07384997698819493
0.9212208210110999,0.06822527980384001,0.7322102927585482,0.06442918555185194
0.9377349844450343,0.07117179959260045,0.7429033248759453,0.057930780616619944
0.9341424390012673,0.06723105174351808,0.7422347490560555,0.06222837259256653
0.9468726226056041,0.07348469505853909,0.7411702117761139,0.06070973973429218
0.9648334611848207,0.064526476113543,0.7590171241124619,0.07610625368384132
0.9641874540182923,0.0777733487447835,0.7434750145165826,0.06935610181811847
0.9820985574033143,0.07088761106078446,0.7697908371028065,0.0685038725949651
0.9894486352331289,0.06664851203772082,0.7540700724636382,0.05942686556087763
0.9891004367247709,0.06872252040551087,0.7650418449383678,0.06655511549714926
0.9963317304151567,0.09275388905851184,0.7570728677186558,0.07720245876231746
1.0018679119111216,0.06745264920005377,0.7665682005490507,0.06483442205737096
1.0342929747798626,0.07567476907757517,0.7857230082986078,0.07739036287359714
1.0033291785925846,0.07396324453515625,0.763469442266803,0.06912540868348528
1.0390734558231793,0.08371662262821537,0.7847303387734754,0.07760167020219472
